post_id,post_type,likes,shares,comments
208,reels,456,106,48
209,static_image,757,129,62
210,static_image,841,159,445
211,static_image,664,66,417
212,static_image,851,26,187
213,static_image,488,194,45
214,static_image,713,179,16
215,reels,892,255,64
216,reels,420,240,372
217,carousel,495,95,385
218,static_image,716,143,325
219,static_image,843,252,248
220,reels,895,142,175
221,carousel,900,49,152
222,reels,299,242,301
223,static_image,734,199,182
224,carousel,556,171,103
225,reels,267,186,418
226,reels,398,148,460
227,static_image,768,146,294
228,carousel,579,102,53
229,carousel,787,213,260
230,static_image,826,128,363
231,reels,711,256,239
232,carousel,145,155,123
233,reels,758,129,166
234,static_image,645,193,252
235,static_image,593,181,227
236,static_image,613,174,190
237,static_image,514,143,166
238,reels,286,66,379
239,carousel,373,66,390
240,static_image,830,99,108
241,carousel,806,252,151
242,static_image,653,273,315
243,reels,152,104,161
244,carousel,419,96,164
245,carousel,775,278,74
246,reels,96,32,293
247,reels,764,69,336
248,reels,155,11,303
249,reels,530,250,235
250,reels,238,31,139
251,reels,166,38,215
252,reels,125,300,332
253,static_image,104,82,86
254,static_image,361,48,137
255,carousel,621,218,320
256,static_image,859,120,407
257,static_image,439,235,475
258,reels,354,224,166
259,static_image,685,35,322
260,static_image,151,111,330
261,carousel,320,46,90
262,carousel,227,287,48
263,carousel,52,214,240
264,static_image,658,245,159
265,carousel,287,152,371
266,reels,769,237,46
267,static_image,289,140,413
268,static_image,653,106,227
269,carousel,607,120,341
270,carousel,980,141,433
271,carousel,123,35,94
272,reels,659,296,481
273,reels,499,68,249
274,static_image,361,211,492
275,reels,562,281,262
276,reels,132,25,465
277,reels,802,170,319
278,reels,76,51,127
279,static_image,906,299,310
280,carousel,833,142,305
281,carousel,831,94,250
282,static_image,717,231,479
283,reels,235,228,335
284,reels,143,245,188
285,reels,391,169,353
286,carousel,928,87,178
287,reels,760,258,157
288,static_image,460,286,28
289,reels,140,166,139
290,reels,168,211,452
291,static_image,894,5,346
292,static_image,523,216,37
293,carousel,580,190,328
294,reels,690,231,399
295,carousel,258,141,291
296,carousel,999,152,234
297,static_image,546,67,24
298,static_image,673,127,373
299,carousel,368,287,17
300,static_image,467,52,125
301,carousel,522,65,341
302,carousel,560,154,270
303,static_image,329,217,437
304,reels,533,129,243
305,static_image,198,201,107
306,static_image,570,74,452
307,carousel,332,217,184
308,static_image,323,6,154
309,static_image,355,255,453
310,carousel,507,280,257
311,reels,390,287,400
312,static_image,436,238,487
313,reels,940,101,367
314,carousel,635,201,129
315,reels,94,167,391
316,reels,772,200,207
317,static_image,861,82,263
318,carousel,179,262,312
319,reels,940,56,457
320,reels,152,274,476
321,reels,65,78,219
322,static_image,208,43,250
323,reels,396,208,342
324,carousel,922,173,446
325,static_image,929,278,204
326,reels,691,254,456
327,static_image,86,40,130
328,static_image,750,152,126
329,static_image,142,227,60
330,static_image,770,56,237
331,carousel,760,158,472
332,carousel,97,171,417
333,carousel,350,188,201
334,reels,199,130,281
335,reels,629,97,97
336,carousel,130,200,327
337,static_image,296,259,477
338,static_image,196,123,246
339,static_image,310,240,140
340,static_image,59,243,471
341,reels,743,284,90
342,carousel,502,181,310
343,reels,704,222,363
344,reels,517,159,111
345,reels,923,252,64
346,carousel,440,297,193
347,static_image,352,156,21
348,static_image,455,145,14
349,static_image,935,30,476
350,static_image,813,259,436
351,reels,844,122,320
352,reels,274,102,327
353,reels,744,75,331
354,carousel,975,25,168
355,reels,84,191,384
356,carousel,142,156,177
357,static_image,475,94,112
358,carousel,855,281,458
359,reels,593,261,477
360,reels,900,89,141
361,reels,875,156,392
362,reels,873,63,249
363,carousel,194,120,450
364,static_image,791,208,443
365,static_image,424,51,414
366,reels,64,140,284
367,carousel,515,193,354
368,static_image,738,139,309
369,reels,892,195,65
370,static_image,289,246,22
371,static_image,955,292,177
372,static_image,276,37,335
373,reels,981,159,342
374,reels,169,76,33
375,carousel,361,257,69
376,carousel,290,280,79
377,reels,514,194,353
378,static_image,763,281,224
379,static_image,810,84,463
380,reels,720,55,436
381,reels,680,213,490
382,reels,83,194,121
383,reels,505,125,447
384,reels,151,193,288
385,static_image,417,36,213
386,reels,244,67,495
387,reels,143,113,338
388,static_image,661,15,35
389,reels,299,69,412
390,static_image,260,40,434
391,static_image,262,115,426
392,carousel,386,80,413
393,static_image,52,146,449
394,carousel,183,281,138
395,carousel,162,18,77
396,carousel,416,126,311
397,reels,66,94,145
398,carousel,179,220,279
399,carousel,813,37,253
400,reels,846,190,272
401,static_image,161,236,267
402,carousel,679,27,382
403,static_image,583,159,244
404,static_image,81,36,255
405,reels,486,60,261
406,static_image,981,232,47
407,carousel,379,80,43
408,carousel,331,285,374
409,reels,440,276,160
410,reels,567,225,60
411,static_image,167,287,379
412,carousel,490,236,464
413,carousel,473,178,433
414,reels,458,217,383
415,carousel,370,223,170
416,static_image,311,196,498
417,carousel,753,247,44
418,carousel,901,48,57
419,reels,148,195,425
420,carousel,619,35,310
421,static_image,625,173,353
422,carousel,470,186,457
423,static_image,818,221,454
424,static_image,102,152,317
425,reels,410,58,305
426,static_image,267,84,346
427,reels,279,60,189
428,static_image,426,63,400
429,reels,637,120,423
430,reels,915,292,402
431,static_image,678,290,23
432,static_image,723,141,24
433,carousel,329,163,481
434,reels,409,8,102
435,carousel,629,210,45
436,carousel,808,20,56
437,static_image,593,115,202
438,reels,514,179,90
439,reels,369,171,407
440,static_image,660,48,462
441,carousel,209,85,396
442,static_image,100,46,149
443,reels,727,222,258
444,static_image,502,217,149
445,carousel,823,267,68
446,reels,490,61,155
447,static_image,744,254,279
448,static_image,365,28,122
449,reels,663,33,13
450,carousel,358,113,402
451,carousel,832,135,158
452,reels,172,8,264
453,static_image,490,94,76
454,reels,595,122,266
455,static_image,903,186,46
456,reels,932,26,233
457,carousel,520,44,451
458,reels,639,224,303
459,reels,776,218,158
460,carousel,464,15,176
461,carousel,870,240,435
462,static_image,991,190,55
463,reels,914,59,134
464,reels,653,210,278
465,carousel,455,163,391
466,reels,276,175,408
467,carousel,128,266,334
468,carousel,593,266,109
469,reels,409,80,130
470,carousel,199,136,111
471,carousel,666,83,399
472,static_image,127,95,497
473,static_image,555,242,396
474,static_image,828,234,358
475,static_image,708,170,452
476,static_image,373,82,235
477,carousel,530,231,333
478,reels,865,145,312
479,carousel,410,264,47
480,reels,522,236,29
481,carousel,427,151,49
482,static_image,934,51,324
483,static_image,569,201,246
484,static_image,617,26,240
485,static_image,717,101,174
486,static_image,537,261,87
487,carousel,511,57,425
488,reels,781,48,268
489,static_image,226,25,136
490,static_image,498,229,278
491,static_image,674,86,196
492,reels,989,149,208
493,reels,843,178,357
494,static_image,103,176,43
495,reels,146,290,357
496,reels,340,134,380
497,static_image,978,81,180
498,carousel,646,77,479
499,reels,367,205,76
500,static_image,775,48,168
501,static_image,435,173,426
502,carousel,736,274,57
503,static_image,736,221,270
504,reels,68,190,168
505,carousel,269,179,495
506,reels,246,120,80
507,carousel,129,156,442
508,carousel,569,281,437
509,static_image,954,274,29
510,static_image,394,72,315
511,reels,207,88,102
512,static_image,839,89,379
513,reels,94,215,196
514,static_image,786,126,237
515,static_image,341,234,129
516,static_image,294,163,424
517,reels,975,104,198
518,static_image,634,230,246
519,reels,846,200,267
520,static_image,478,87,428
521,carousel,870,75,456
522,reels,103,251,457
523,reels,617,57,374
524,static_image,921,68,155
525,carousel,831,87,149
526,reels,977,267,85
527,reels,143,118,428
528,reels,955,183,486
529,carousel,474,32,212
530,static_image,432,125,207
531,carousel,433,119,24
532,reels,151,176,415
533,carousel,190,24,156
534,reels,762,76,398
535,static_image,530,234,325
536,carousel,977,45,19
537,reels,270,81,290
538,static_image,673,275,226
539,carousel,844,152,131
540,reels,174,29,132
541,reels,704,239,42
542,carousel,906,260,315
543,static_image,66,268,304
544,carousel,785,78,159
545,reels,51,185,133
546,static_image,476,100,350
547,static_image,137,273,194
548,carousel,588,283,269
549,static_image,617,15,209
550,reels,94,203,201
551,reels,815,13,192
552,carousel,403,128,385
553,static_image,693,58,405
554,static_image,802,175,78
555,carousel,410,284,183
556,static_image,229,242,366
557,reels,696,98,425
558,carousel,114,239,28
559,reels,256,27,415
560,carousel,957,26,171
561,reels,577,208,427
562,static_image,534,134,28
563,static_image,245,151,192
564,carousel,936,174,149
565,carousel,868,193,233
566,reels,811,230,468
567,reels,397,100,264
568,static_image,559,193,483
569,static_image,323,47,382
570,reels,130,225,318
571,carousel,608,155,174
572,carousel,131,172,348
573,reels,363,233,318
574,static_image,486,90,363
575,reels,409,233,31
576,static_image,940,185,324
577,reels,331,34,48
578,static_image,702,212,196
579,static_image,870,86,497
580,carousel,196,229,27
581,carousel,118,125,408
582,static_image,425,190,206
583,static_image,83,83,357
584,reels,429,195,237
585,carousel,637,75,281
586,reels,457,165,342
587,reels,305,63,23
588,static_image,240,260,275
589,reels,985,292,70
590,reels,843,138,370
591,reels,269,151,365
592,reels,254,67,79
593,carousel,512,93,470
594,static_image,505,49,424
595,static_image,915,168,351
596,reels,776,38,291
597,static_image,347,158,445
598,carousel,778,94,416
599,reels,570,119,72
600,carousel,861,76,131
601,reels,76,189,293
602,static_image,427,244,421
603,static_image,182,49,43
604,reels,457,250,279
605,reels,837,214,431
606,static_image,125,69,172
607,static_image,125,235,248
608,static_image,579,181,75
609,static_image,705,98,403
610,carousel,493,262,476
611,carousel,901,68,275
612,carousel,361,89,92
613,reels,776,120,187
614,static_image,966,150,443
615,carousel,306,105,335
616,static_image,331,69,330
617,reels,679,278,57
618,static_image,706,91,313
619,static_image,207,92,347
620,static_image,787,177,441
621,static_image,92,19,51
622,carousel,706,300,145
623,static_image,265,297,223
624,static_image,704,20,264
625,static_image,608,153,338
626,reels,544,130,422
627,static_image,465,157,242
628,carousel,755,35,90
629,reels,475,252,247
630,carousel,398,78,170
631,static_image,376,181,214
632,carousel,828,194,273
633,static_image,158,168,133
634,reels,175,141,240
635,carousel,194,54,35
636,reels,443,219,137
637,carousel,883,172,488
638,static_image,788,165,107
639,carousel,560,268,249
640,reels,950,162,264
641,carousel,142,206,268
642,reels,296,115,308
643,reels,99,30,154
644,reels,661,245,156
645,static_image,58,60,230
646,carousel,953,140,382
647,reels,832,211,197
648,carousel,460,31,301
649,static_image,249,190,293
650,reels,125,202,268
651,reels,832,286,153
652,static_image,746,65,75
653,carousel,453,196,416
654,reels,621,192,396
655,carousel,253,265,215
656,static_image,91,28,29
657,carousel,780,175,421
658,reels,581,238,86
659,static_image,964,268,81
660,reels,677,168,93
661,reels,681,158,313
662,reels,569,265,282
663,reels,775,293,163
664,reels,885,13,198
665,reels,739,61,223
666,static_image,365,18,315
667,reels,321,300,126
668,static_image,102,250,97
669,static_image,694,199,85
670,static_image,298,21,303
671,static_image,162,102,19
672,reels,371,219,87
673,reels,757,109,220
674,static_image,843,246,456
675,static_image,794,36,371
676,carousel,581,111,297
677,reels,728,249,279
678,reels,371,93,245
679,static_image,400,284,191
680,static_image,840,140,322
681,reels,246,131,152
682,static_image,355,120,492
683,reels,839,152,370
684,carousel,756,255,172
685,reels,407,291,488
686,static_image,330,152,72
687,static_image,742,283,204
688,reels,888,181,498
689,carousel,347,26,157
690,static_image,130,182,483
691,reels,721,136,392
692,reels,269,108,433
693,static_image,327,292,366
694,reels,190,60,325
695,static_image,650,127,134
696,carousel,735,276,125
697,static_image,288,31,61
698,reels,388,246,61
699,static_image,839,75,12
700,static_image,211,213,344
701,reels,538,107,397
702,reels,378,151,340
703,carousel,979,50,343
704,static_image,287,278,388
705,static_image,920,24,477
706,carousel,477,95,488
707,carousel,906,208,413
708,reels,240,153,458
709,carousel,59,157,300
710,static_image,159,176,155
711,reels,706,283,278
712,reels,960,73,445
713,static_image,529,144,108
714,carousel,388,88,384
715,reels,713,136,377
716,carousel,64,177,414
717,reels,631,103,99
718,static_image,926,212,433
719,reels,577,172,54
720,reels,735,53,104
721,carousel,538,170,489
722,carousel,56,138,206
723,carousel,507,141,498
724,reels,359,298,15
725,reels,719,189,364
726,carousel,113,65,248
727,reels,213,212,361
728,static_image,995,164,363
729,carousel,704,156,198
730,static_image,276,117,500
731,carousel,539,83,242
732,static_image,670,196,222
733,static_image,612,246,397
734,static_image,871,116,400
735,carousel,746,46,279
736,reels,590,190,49
737,static_image,164,36,434
738,static_image,974,263,113
739,static_image,599,81,94
740,reels,924,271,236
741,carousel,746,110,377
742,static_image,550,51,470
743,static_image,506,33,242
744,carousel,575,217,243
745,static_image,109,291,246
746,static_image,876,162,380
747,carousel,455,135,428
748,carousel,813,116,306
749,carousel,96,221,186
750,static_image,115,282,40
751,carousel,533,21,156
752,reels,234,74,402
753,static_image,796,220,201
754,reels,509,198,202
755,carousel,749,281,78
756,static_image,930,183,70
757,carousel,600,206,280
758,carousel,795,119,437
759,carousel,824,16,162
760,reels,739,283,227
761,static_image,438,122,136
762,reels,404,84,151
763,carousel,946,62,26
764,static_image,479,13,133
765,carousel,118,56,314
766,carousel,507,29,135
767,static_image,95,210,234
768,carousel,602,116,396
769,carousel,193,262,158
770,carousel,885,299,173
771,static_image,662,169,131
772,reels,947,78,348
773,static_image,276,216,163
774,reels,112,290,495
775,static_image,950,94,330
776,static_image,487,289,263
777,carousel,402,200,412
778,static_image,376,218,219
779,carousel,357,197,104
780,static_image,534,128,444
781,carousel,357,78,422
782,reels,986,34,297
783,reels,476,290,281
784,carousel,447,129,140
785,carousel,388,45,482
786,reels,917,194,57
787,static_image,791,102,36
788,reels,436,25,457
789,carousel,242,291,121
790,reels,263,175,165
791,carousel,266,102,389
792,carousel,814,250,478
793,carousel,762,109,213
794,carousel,615,169,407
795,reels,439,243,283
796,static_image,417,162,143
797,reels,575,259,248
798,carousel,872,245,399
799,reels,986,109,199
800,reels,473,28,298
801,carousel,809,79,18
802,reels,616,218,161
803,carousel,250,173,127
804,reels,633,130,265
805,static_image,720,177,141
806,reels,790,256,245
807,carousel,800,185,96
808,carousel,787,284,260
809,carousel,988,282,338
810,carousel,586,22,439
811,carousel,887,29,401
812,carousel,472,75,441
813,static_image,286,39,372
814,carousel,59,116,268
815,reels,432,35,326
816,static_image,732,252,347
817,reels,66,8,282
818,static_image,471,11,18
819,static_image,789,145,284
820,reels,67,262,426
821,static_image,740,225,422
822,carousel,159,54,278
823,carousel,296,103,327
824,static_image,308,186,146
825,reels,130,196,217
826,reels,628,129,366
827,carousel,357,46,344
828,static_image,827,21,57
829,reels,438,198,292
830,reels,107,9,369
831,carousel,134,260,442
832,reels,710,174,299
833,carousel,966,275,480
834,carousel,285,113,471
835,static_image,958,295,253
836,reels,97,43,360
837,reels,970,283,298
838,static_image,83,96,485
839,reels,66,111,310
840,carousel,820,208,485
841,carousel,356,88,298
842,carousel,630,204,356
843,static_image,389,201,396
844,static_image,193,45,266
845,static_image,404,32,60
846,reels,287,43,184
847,static_image,837,208,406
848,reels,80,144,411
849,reels,552,121,192
850,static_image,434,226,105
851,static_image,649,199,53
852,static_image,352,131,375
853,carousel,134,142,88
854,reels,778,83,388
855,reels,374,189,64
856,carousel,55,162,237
857,reels,829,143,62
858,carousel,139,100,230
859,reels,620,289,272
860,reels,155,18,55
861,reels,617,52,315
862,static_image,853,171,452
863,reels,62,154,221
864,reels,847,48,381
865,static_image,976,129,302
866,static_image,223,199,96
867,carousel,325,159,147
868,reels,199,37,95
869,reels,332,220,163
870,reels,851,44,194
871,reels,302,258,314
872,static_image,250,239,64
873,carousel,361,8,495
874,reels,390,199,421
875,reels,500,176,230
876,static_image,658,74,163
877,reels,667,107,255
878,reels,231,208,173
879,reels,802,256,304
880,carousel,383,197,153
881,reels,423,63,487
882,static_image,254,284,102
883,static_image,836,286,23
884,static_image,522,112,234
885,reels,901,40,429
886,reels,739,260,81
887,static_image,360,128,139
888,static_image,207,221,414
889,reels,125,234,316
890,reels,646,210,283
891,static_image,995,219,288
892,carousel,859,189,369
893,static_image,658,48,65
894,carousel,723,186,95
895,static_image,677,27,298
896,static_image,743,209,395
897,reels,865,225,64
898,carousel,150,137,123
899,static_image,814,270,295
900,static_image,754,299,123
901,reels,433,205,247
902,static_image,652,261,87
903,reels,75,252,63
904,reels,475,48,69
905,static_image,195,183,169
906,reels,516,110,276
907,reels,406,248,59
908,reels,789,236,173
909,carousel,357,27,424
910,static_image,167,16,444
911,reels,713,60,356
912,carousel,808,129,274
913,carousel,615,86,179
914,static_image,486,241,128
915,reels,694,99,105
916,static_image,723,226,212
917,carousel,805,106,240
918,static_image,489,204,12
919,static_image,269,110,152
920,static_image,878,37,305
921,carousel,868,279,105
922,reels,383,105,244
923,carousel,318,255,280
924,static_image,370,203,322
925,reels,651,63,188
926,reels,915,239,326
927,carousel,883,157,480
928,static_image,654,48,354
929,carousel,370,65,132
930,reels,169,98,201
931,static_image,194,266,208
932,reels,660,75,304
933,reels,483,100,259
934,static_image,600,93,294
935,carousel,551,152,81
936,carousel,372,235,327
937,carousel,936,188,497
938,carousel,546,74,109
939,reels,625,263,344
940,reels,468,256,222
941,static_image,910,232,260
942,carousel,134,294,25
943,carousel,349,21,150
944,carousel,600,152,96
945,reels,629,258,291
946,static_image,165,298,68
947,reels,843,283,431
948,reels,605,26,399
949,static_image,501,284,121
950,reels,154,131,162
951,carousel,510,139,188
952,carousel,499,65,407
953,carousel,264,184,450
954,static_image,674,224,94
955,static_image,192,110,426
956,carousel,874,35,301
957,reels,595,148,315
958,static_image,222,170,370
959,reels,346,298,146
960,static_image,971,53,79
961,reels,990,35,151
962,static_image,179,72,137
963,carousel,778,169,434
964,carousel,829,206,260
965,carousel,641,142,331
966,reels,434,236,48
967,static_image,863,52,216
968,static_image,817,147,365
969,reels,515,254,177
970,static_image,52,52,384
971,reels,700,188,445
972,carousel,864,278,213
973,carousel,489,113,263
974,reels,380,150,182
975,static_image,641,71,299
976,reels,857,180,467
977,static_image,830,29,33
978,carousel,691,240,18
979,carousel,928,85,235
980,reels,50,224,113
981,static_image,981,72,461
982,static_image,359,86,457
983,reels,145,189,138
984,carousel,430,89,36
985,reels,690,161,381
986,static_image,823,124,229
987,static_image,143,53,10
988,carousel,538,44,77
989,static_image,281,270,358
990,reels,59,9,366
991,reels,886,66,450
992,reels,760,72,254
993,carousel,284,201,55
994,static_image,875,57,62
995,reels,426,158,80
996,reels,842,73,338
997,static_image,196,40,281
998,static_image,58,89,235
999,reels,789,114,331
1000,static_image,205,215,325
1001,static_image,503,116,54
1002,carousel,193,68,311
1003,static_image,443,184,229
1004,reels,860,76,136
1005,reels,710,48,137
1006,static_image,665,150,408
1007,static_image,77,159,115
1008,static_image,671,265,106
1009,static_image,451,156,340
1010,carousel,852,127,263
1011,reels,165,128,265
1012,static_image,658,41,280
1013,carousel,419,167,77
1014,reels,931,296,225
1015,reels,609,93,400
1016,reels,838,42,18
1017,static_image,119,12,144
1018,carousel,90,35,495
1019,reels,568,151,331
1020,static_image,563,217,226
1021,static_image,461,47,337
1022,static_image,600,83,152
1023,carousel,367,45,271
1024,carousel,877,84,284
1025,reels,450,38,168
1026,static_image,497,127,39
1027,carousel,138,227,69
1028,reels,676,33,168
1029,static_image,809,94,71
1030,carousel,774,75,369
1031,carousel,217,259,497
1032,reels,585,269,410
1033,static_image,315,90,200
1034,carousel,817,142,385
1035,carousel,839,20,181
1036,reels,328,273,42
1037,reels,779,300,331
1038,carousel,558,238,271
1039,reels,106,260,449
1040,static_image,220,193,90
1041,reels,841,57,467
1042,static_image,740,64,126
1043,static_image,571,6,32
1044,carousel,300,28,251
1045,reels,442,81,101
1046,carousel,616,219,124
1047,reels,304,218,478
1048,static_image,377,143,432
1049,carousel,635,195,71
1050,static_image,739,31,101
1051,carousel,873,269,33
1052,reels,120,243,453
1053,reels,842,164,177
1054,carousel,616,238,14
1055,reels,255,154,298
1056,reels,807,129,247
1057,reels,655,257,405
1058,carousel,800,284,399
1059,carousel,204,8,487
1060,reels,74,124,287
1061,reels,701,9,496
1062,reels,51,197,444
1063,static_image,794,162,63
1064,carousel,592,126,224
1065,reels,111,77,374
1066,reels,145,27,481
1067,carousel,968,271,221
1068,static_image,967,195,244
1069,static_image,136,53,268
1070,carousel,702,206,48
1071,static_image,631,36,232
1072,static_image,183,126,159
1073,reels,921,166,484
1074,reels,767,172,172
1075,reels,328,124,48
1076,carousel,189,60,89
1077,carousel,218,235,248
1078,reels,466,66,284
1079,reels,838,111,241
1080,reels,524,140,446
1081,carousel,142,85,423
1082,static_image,361,25,120
1083,reels,201,51,374
1084,carousel,414,207,272
1085,carousel,743,158,143
1086,carousel,81,212,447
1087,reels,619,286,137
1088,carousel,523,57,421
1089,carousel,174,11,41
1090,carousel,183,106,431
1091,reels,431,48,308
1092,static_image,315,43,21
1093,carousel,252,232,424
1094,carousel,144,174,72
1095,carousel,522,30,96
1096,static_image,493,207,264
1097,carousel,441,223,98
1098,reels,269,100,150
1099,reels,506,81,27
1100,static_image,684,130,341
1101,reels,560,215,461
1102,static_image,540,36,54
1103,reels,442,75,224
1104,carousel,708,274,137
1105,static_image,871,283,416
1106,carousel,441,188,255
1107,static_image,850,253,186
1108,static_image,564,169,208
1109,reels,234,18,173
1110,static_image,274,20,468
1111,reels,109,246,281
1112,reels,835,124,91
1113,carousel,303,128,146
1114,static_image,885,33,401
1115,carousel,639,203,191
1116,carousel,230,126,313
1117,reels,875,188,477
1118,static_image,78,185,495
1119,static_image,627,77,298
1120,carousel,906,257,287
1121,reels,229,256,29
1122,carousel,107,124,318
1123,carousel,70,274,254
1124,carousel,389,108,422
1125,carousel,398,95,480
1126,reels,110,16,85
1127,static_image,771,77,406
1128,carousel,916,274,450
1129,reels,124,196,370
1130,static_image,455,56,182
1131,reels,380,74,90
1132,static_image,497,254,342
1133,reels,228,292,365
1134,static_image,855,187,124
1135,static_image,653,94,203
1136,reels,801,155,75
1137,carousel,796,5,495
1138,static_image,636,205,445
1139,static_image,83,98,318
1140,reels,993,118,337
1141,static_image,156,259,82
1142,reels,813,44,131
1143,reels,377,90,335
1144,carousel,891,176,238
1145,carousel,321,112,137
1146,static_image,119,184,141
1147,carousel,787,5,34
1148,reels,498,219,95
1149,reels,554,198,189
1150,static_image,434,56,434
1151,reels,857,300,343
1152,static_image,280,88,241
1153,carousel,868,22,160
1154,carousel,376,138,497
1155,carousel,125,180,97
1156,reels,214,43,290
1157,carousel,396,252,370
1158,carousel,491,89,320
1159,reels,210,32,61
1160,reels,260,102,219
1161,static_image,617,281,145
1162,static_image,338,157,131
1163,carousel,100,206,302
1164,static_image,910,256,88
1165,carousel,419,6,228
1166,carousel,351,250,112
1167,carousel,76,110,97
1168,static_image,348,46,252
1169,carousel,365,208,251
1170,reels,966,140,56
1171,static_image,607,203,104
1172,reels,956,200,199
1173,carousel,506,27,144
1174,reels,526,139,125
1175,reels,627,36,87
1176,static_image,733,54,53
1177,static_image,402,282,221
1178,static_image,282,288,41
1179,reels,888,272,224
1180,static_image,753,248,303
1181,carousel,537,158,50
1182,reels,974,22,267
1183,static_image,972,269,419
